x,y,das,treatment,area,source,date
563738.579681884,5705704.199999999,153.0,treated,non-inoculated,observation,2022-08-31
563741.6354572463,5705704.199999999,167.0,treated,non-inoculated,observation,2022-09-14
563744.6912326087,5705704.199999999,154.0,treated,non-inoculated,observation,2022-09-01
563750.8027833333,5705704.199999999,154.0,treated,non-inoculated,observation,2022-09-01
563753.8585586956,5705704.199999999,167.0,treated,non-inoculated,observation,2022-09-14
563756.914334058,5705704.199999999,167.0,treated,non-inoculated,observation,2022-09-14
563763.0258847827,5705704.199999999,167.0,treated,non-inoculated,observation,2022-09-14
563766.081660145,5705704.199999999,154.0,treated,non-inoculated,observation,2022-09-01
563772.1932108696,5705704.199999999,167.0,treated,non-inoculated,observation,2022-09-14
563775.2489862319,5705704.199999999,167.0,treated,non-inoculated,observation,2022-09-14
563781.3605369566,5705704.199999999,155.0,treated,non-inoculated,observation,2022-09-02
563784.4163123189,5705704.199999999,155.0,treated,non-inoculated,observation,2022-09-02
563689.6872760869,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563692.7430514493,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563695.7988268116,5705699.090639999,161.0,treated,non-inoculated,observation,2022-09-08
563708.0219282608,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563711.0777036232,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563714.1334789855,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563717.1892543478,5705699.090639999,142.0,treated,non-inoculated,observation,2022-08-20
563720.2450297101,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563726.3565804348,5705699.090639999,166.0,treated,non-inoculated,observation,2022-09-13
563729.4123557971,5705699.090639999,166.0,treated,non-inoculated,observation,2022-09-13
563735.5239065217,5705699.090639999,140.0,treated,non-inoculated,observation,2022-08-18
563738.579681884,5705699.090639999,157.0,treated,non-inoculated,observation,2022-09-04
563741.6354572463,5705699.090639999,153.0,treated,non-inoculated,observation,2022-08-31
563744.6912326087,5705699.090639999,164.0,treated,non-inoculated,observation,2022-09-11
563747.747007971,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563750.8027833333,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563753.8585586956,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563756.914334058,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563759.9701094202,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563763.0258847827,5705699.090639999,166.0,treated,non-inoculated,observation,2022-09-13
563766.081660145,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563769.1374355073,5705699.090639999,166.0,treated,non-inoculated,observation,2022-09-13
563772.1932108696,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563775.2489862319,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563778.3047615942,5705699.090639999,167.0,treated,non-inoculated,observation,2022-09-14
563781.3605369566,5705699.090639999,166.0,treated,non-inoculated,observation,2022-09-13
563784.4163123189,5705699.090639999,166.0,treated,non-inoculated,observation,2022-09-13
563686.6315007246,5705693.98128,166.0,treated,non-inoculated,observation,2022-09-13
563692.7430514493,5705693.98128,166.0,treated,non-inoculated,observation,2022-09-13
563695.7988268116,5705693.98128,167.0,treated,non-inoculated,observation,2022-09-14
563698.8546021739,5705693.98128,167.0,treated,non-inoculated,observation,2022-09-14
563701.9103775362,5705693.98128,167.0,treated,non-inoculated,observation,2022-09-14
563711.0777036232,5705693.98128,167.0,treated,non-inoculated,observation,2022-09-14
563717.1892543478,5705693.98128,167.0,treated,non-inoculated,observation,2022-09-14
563720.2450297101,5705693.98128,167.0,treated,non-inoculated,observation,2022-09-14
563750.8027833333,5705693.98128,162.0,treated,non-inoculated,observation,2022-09-09
563759.9701094202,5705693.98128,167.0,treated,non-inoculated,observation,2022-09-14
563766.081660145,5705693.98128,167.0,treated,non-inoculated,observation,2022-09-14
563769.1374355073,5705693.98128,167.0,treated,non-inoculated,observation,2022-09-14
563772.1932108696,5705693.98128,155.0,treated,non-inoculated,observation,2022-09-02
563775.2489862319,5705693.98128,167.0,treated,non-inoculated,observation,2022-09-14
563778.3047615942,5705693.98128,154.0,treated,non-inoculated,observation,2022-09-01
563686.6315007246,5705688.87192,166.0,treated,non-inoculated,observation,2022-09-13
563692.7430514493,5705688.87192,166.0,treated,non-inoculated,observation,2022-09-13
563695.7988268116,5705688.87192,167.0,treated,non-inoculated,observation,2022-09-14
563698.8546021739,5705688.87192,167.0,treated,non-inoculated,observation,2022-09-14
563701.9103775362,5705688.87192,167.0,treated,non-inoculated,observation,2022-09-14
563711.0777036232,5705688.87192,167.0,treated,non-inoculated,observation,2022-09-14
563753.8585586956,5705688.87192,167.0,treated,non-inoculated,observation,2022-09-14
563756.914334058,5705688.87192,167.0,treated,non-inoculated,observation,2022-09-14
563763.0258847827,5705688.87192,167.0,treated,non-inoculated,observation,2022-09-14
563766.081660145,5705688.87192,166.0,treated,non-inoculated,observation,2022-09-13
