x,y,cc,treatment,area,source
563651.2047334985,5705706.929437444,81.0,untreated,non-inoculated,uas
563658.8626185125,5705706.929437444,76.0,untreated,non-inoculated,uas
563666.5205035266,5705706.929437444,76.0,untreated,non-inoculated,uas
563674.1783885406,5705706.929437444,91.0,untreated,non-inoculated,uas
563681.8362735547,5705706.929437444,86.0,untreated,non-inoculated,uas
563597.5995384001,5705699.27155243,85.0,untreated,non-inoculated,uas
563605.257423414,5705699.27155243,95.0,untreated,non-inoculated,uas
563612.9153084281,5705699.27155243,94.0,untreated,non-inoculated,uas
563620.5731934422,5705699.27155243,100.0,untreated,non-inoculated,uas
563643.5468484844,5705699.27155243,98.0,untreated,non-inoculated,uas
563651.2047334985,5705699.27155243,73.0,untreated,non-inoculated,uas
563658.8626185125,5705699.27155243,72.0,untreated,non-inoculated,uas
563666.5205035266,5705699.27155243,73.0,untreated,non-inoculated,uas
563674.1783885406,5705699.27155243,89.0,untreated,non-inoculated,uas
563681.8362735547,5705699.27155243,84.0,untreated,non-inoculated,uas
563597.5995384001,5705691.613667415,87.0,untreated,non-inoculated,uas
563605.257423414,5705691.613667415,88.0,untreated,non-inoculated,uas
563612.9153084281,5705691.613667415,99.0,untreated,non-inoculated,uas
563651.2047334985,5705691.613667415,75.0,untreated,non-inoculated,uas
563658.8626185125,5705691.613667415,73.0,untreated,non-inoculated,uas
563666.5205035266,5705691.613667415,76.0,untreated,non-inoculated,uas
563674.1783885406,5705691.613667415,90.0,untreated,non-inoculated,uas
563681.8362735547,5705691.613667415,83.0,untreated,non-inoculated,uas
563597.5995384001,5705683.955782401,89.0,untreated,non-inoculated,uas
563605.257423414,5705683.955782401,87.0,untreated,non-inoculated,uas
563658.8626185125,5705683.955782401,77.0,untreated,non-inoculated,uas
563666.5205035266,5705683.955782401,84.0,untreated,non-inoculated,uas
563674.1783885406,5705683.955782401,84.0,untreated,non-inoculated,uas
563681.8362735547,5705683.955782401,84.0,untreated,non-inoculated,uas
563597.5995384001,5705676.297897387,87.0,untreated,non-inoculated,uas
563605.257423414,5705676.297897387,86.0,untreated,non-inoculated,uas
563658.8626185125,5705676.297897387,78.0,untreated,non-inoculated,uas
563666.5205035266,5705676.297897387,87.0,untreated,non-inoculated,uas
563674.1783885406,5705676.297897387,81.0,untreated,non-inoculated,uas
563681.8362735547,5705676.297897387,83.0,untreated,non-inoculated,uas
563589.941653386,5705668.640012373,85.0,untreated,non-inoculated,uas
563597.5995384001,5705668.640012373,82.0,untreated,non-inoculated,uas
563605.257423414,5705668.640012373,85.0,untreated,non-inoculated,uas
563612.9153084281,5705668.640012373,98.0,untreated,non-inoculated,uas
563651.2047334985,5705668.640012373,78.0,untreated,non-inoculated,uas
563658.8626185125,5705668.640012373,75.0,untreated,non-inoculated,uas
563666.5205035266,5705668.640012373,89.0,untreated,non-inoculated,uas
563674.1783885406,5705668.640012373,80.0,untreated,non-inoculated,uas
563681.8362735547,5705668.640012373,80.0,untreated,non-inoculated,uas
563589.941653386,5705660.982127359,77.0,untreated,non-inoculated,uas
563597.5995384001,5705660.982127359,79.0,untreated,non-inoculated,uas
563605.257423414,5705660.982127359,81.0,untreated,non-inoculated,uas
563612.9153084281,5705660.982127359,94.0,untreated,non-inoculated,uas
563620.5731934422,5705660.982127359,79.0,untreated,non-inoculated,uas
563643.5468484844,5705660.982127359,75.0,untreated,non-inoculated,uas
563651.2047334985,5705660.982127359,78.0,untreated,non-inoculated,uas
563658.8626185125,5705660.982127359,76.0,untreated,non-inoculated,uas
563666.5205035266,5705660.982127359,89.0,untreated,non-inoculated,uas
563674.1783885406,5705660.982127359,81.0,untreated,non-inoculated,uas
563589.941653386,5705653.324242345,77.0,untreated,non-inoculated,uas
563597.5995384001,5705653.324242345,75.0,untreated,non-inoculated,uas
563605.257423414,5705653.324242345,81.0,untreated,non-inoculated,uas
563612.9153084281,5705653.324242345,83.0,untreated,non-inoculated,uas
563620.5731934422,5705653.324242345,77.0,untreated,non-inoculated,uas
563628.2310784563,5705653.324242345,80.0,untreated,non-inoculated,uas
563635.8889634704,5705653.324242345,82.0,untreated,non-inoculated,uas
563643.5468484844,5705653.324242345,75.0,untreated,non-inoculated,uas
563651.2047334985,5705653.324242345,74.0,untreated,non-inoculated,uas
563658.8626185125,5705653.324242345,75.0,untreated,non-inoculated,uas
563666.5205035266,5705653.324242345,85.0,untreated,non-inoculated,uas
563674.1783885406,5705653.324242345,75.0,untreated,non-inoculated,uas
563589.941653386,5705645.666357331,77.0,untreated,non-inoculated,uas
563597.5995384001,5705645.666357331,75.0,untreated,non-inoculated,uas
563605.257423414,5705645.666357331,86.0,untreated,non-inoculated,uas
563612.9153084281,5705645.666357331,78.0,untreated,non-inoculated,uas
563635.8889634704,5705645.666357331,78.0,untreated,non-inoculated,uas
563643.5468484844,5705645.666357331,73.0,untreated,non-inoculated,uas
563651.2047334985,5705645.666357331,71.0,untreated,non-inoculated,uas
563658.8626185125,5705645.666357331,73.0,untreated,non-inoculated,uas
563666.5205035266,5705645.666357331,74.0,untreated,non-inoculated,uas
563674.1783885406,5705645.666357331,68.0,untreated,non-inoculated,uas
563589.941653386,5705638.008472317,76.0,untreated,non-inoculated,uas
563597.5995384001,5705638.008472317,76.0,untreated,non-inoculated,uas
563605.257423414,5705638.008472317,87.0,untreated,non-inoculated,uas
563643.5468484844,5705638.008472317,69.0,untreated,non-inoculated,uas
563651.2047334985,5705638.008472317,69.0,untreated,non-inoculated,uas
