x,y,das,treatment,area,source,date
563778.3209979851,5705708.575660413,167.0,treated,non-inoculated,observation,2022-09-14
563781.6800938195,5705708.575660413,154.0,treated,non-inoculated,observation,2022-09-01
563785.0391896539,5705708.575660413,154.0,treated,non-inoculated,observation,2022-09-01
563690.984506289,5705705.216564579,167.0,treated,non-inoculated,observation,2022-09-14
563694.3436021234,5705705.216564579,153.0,treated,non-inoculated,observation,2022-08-31
563707.7799854613,5705705.216564579,167.0,treated,non-inoculated,observation,2022-09-14
563721.2163687991,5705705.216564579,167.0,treated,non-inoculated,observation,2022-09-14
563734.652752137,5705705.216564579,167.0,treated,non-inoculated,observation,2022-09-14
563738.0118479715,5705705.216564579,153.0,treated,non-inoculated,observation,2022-08-31
563741.3709438059,5705705.216564579,167.0,treated,non-inoculated,observation,2022-09-14
563744.7300396404,5705705.216564579,154.0,treated,non-inoculated,observation,2022-09-01
563751.4482313093,5705705.216564579,154.0,treated,non-inoculated,observation,2022-09-01
563754.8073271438,5705705.216564579,167.0,treated,non-inoculated,observation,2022-09-14
563758.1664229783,5705705.216564579,167.0,treated,non-inoculated,observation,2022-09-14
563761.5255188127,5705705.216564579,167.0,treated,non-inoculated,observation,2022-09-14
563764.8846146471,5705705.216564579,154.0,treated,non-inoculated,observation,2022-09-01
563771.6028063161,5705705.216564579,167.0,treated,non-inoculated,observation,2022-09-14
563774.9619021505,5705705.216564579,167.0,treated,non-inoculated,observation,2022-09-14
563781.6800938195,5705705.216564579,155.0,treated,non-inoculated,observation,2022-09-02
563785.0391896539,5705705.216564579,155.0,treated,non-inoculated,observation,2022-09-02
563687.6254104545,5705701.857468745,154.0,treated,non-inoculated,observation,2022-09-01
563690.984506289,5705701.857468745,167.0,treated,non-inoculated,observation,2022-09-14
563694.3436021234,5705701.857468745,153.0,treated,non-inoculated,observation,2022-08-31
563707.7799854613,5705701.857468745,167.0,treated,non-inoculated,observation,2022-09-14
563721.2163687991,5705701.857468745,167.0,treated,non-inoculated,observation,2022-09-14
563734.652752137,5705701.857468745,167.0,treated,non-inoculated,observation,2022-09-14
563738.0118479715,5705701.857468745,153.0,treated,non-inoculated,observation,2022-08-31
563741.3709438059,5705701.857468745,167.0,treated,non-inoculated,observation,2022-09-14
563744.7300396404,5705701.857468745,154.0,treated,non-inoculated,observation,2022-09-01
563751.4482313093,5705701.857468745,154.0,treated,non-inoculated,observation,2022-09-01
563754.8073271438,5705701.857468745,167.0,treated,non-inoculated,observation,2022-09-14
563758.1664229783,5705701.857468745,167.0,treated,non-inoculated,observation,2022-09-14
563761.5255188127,5705701.857468745,167.0,treated,non-inoculated,observation,2022-09-14
563764.8846146471,5705701.857468745,154.0,treated,non-inoculated,observation,2022-09-01
563771.6028063161,5705701.857468745,167.0,treated,non-inoculated,observation,2022-09-14
563774.9619021505,5705701.857468745,167.0,treated,non-inoculated,observation,2022-09-14
563781.6800938195,5705701.857468745,155.0,treated,non-inoculated,observation,2022-09-02
563785.0391896539,5705701.857468745,155.0,treated,non-inoculated,observation,2022-09-02
563687.6254104545,5705698.498372911,166.0,treated,non-inoculated,observation,2022-09-13
563690.984506289,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563694.3436021234,5705698.498372911,161.0,treated,non-inoculated,observation,2022-09-08
563707.7799854613,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563711.1390812957,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563714.4981771302,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563717.8572729647,5705698.498372911,142.0,treated,non-inoculated,observation,2022-08-20
563721.2163687991,5705698.498372911,167.0,treated,non-inoculated,observation,2022-09-14
563727.9345604681,5705698.498372911,166.0,treated,non-inoculated,observation,2022-09-13
563734.652752137,5705698.498372911,140.0,treated,non-inoculated,observation,2022-08-18
